Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.00    0.36      99/4511        h_alloc_struct [5]
-----------------------------------------------
                0.00    0.36      99/99          ioopm_inventory_add_merchandise [24]
[39]     1.8    0.00    0.36      99         ioopm_hash_table_insert [39]
                0.00    0.36      99/99          entry_create [38]
                0.00    0.00      99/4020        get_sentinel [89]
                0.00    0.00      99/4020        find_previous_entry_for_key [88]
-----------------------------------------------
                0.04    0.02  351744/1942753     do_move [16]
                0.19    0.08 1591009/1942753     reset_all_been_visited [6]
[40]     1.7    0.23    0.09 1942753         is_been_visited [40]
                0.09    0.00 1942753/11213078     is_little_end [34]
-----------------------------------------------
                0.00    0.15      48/99          TUI_inventory_remove_merch [14]
                0.00    0.16      51/99          TUI_inventory_replenish_stock [12]
[41]     1.6    0.00    0.32      99         ioopm_ask_existing_inventory_merch [41]
                0.00    0.32      99/888         ask_question [18]
-----------------------------------------------
                0.12    0.19  157501/157501      do_move [16]
[42]     1.6    0.12    0.19  157501         get_moveto_page [42]
                0.14    0.05  496049/542640      has_room [44]
                0.00    0.00    6999/772853      is_active [55]
                0.00    0.00    2294/2373        make_active [95]
-----------------------------------------------
                0.15    0.07  252978/252978      do_move [16]
[43]     1.1    0.15    0.07  252978         is_movable [43]
                0.06    0.01  831337/22906112     is_ptr_to_page [21]
-----------------------------------------------
                0.01    0.00   46591/542640      get_alloc_page [67]
                0.14    0.05  496049/542640      get_moveto_page [42]
[44]     1.1    0.15    0.06  542640         has_room [44]
                0.04    0.00  542640/772853      is_active [55]
                0.02    0.00  477696/640297      avail_space_page [60]
-----------------------------------------------
                0.19    0.00 3324907/3324907     is_ptr_to_page [21]
[45]     1.0    0.19    0.00 3324907         get_bit_alloc_map [45]
-----------------------------------------------
                0.00    0.16      51/51          TUI_inventory_replenish_stock [12]
[46]     0.8    0.00    0.16      51         ioopm_ask_new_shelf [46]
                0.00    0.16      51/888         ask_question [18]
-----------------------------------------------
                0.00    0.16      51/51          TUI_inventory_replenish_stock [12]
[47]     0.8    0.00    0.16      51         ioopm_ask_question_u_int [47]
                0.00    0.16      51/150         ask_question_u_int [35]
-----------------------------------------------
                0.16    0.00    2365/2365        move [3]
[48]     0.8    0.16    0.00    2365         make_passive [48]
-----------------------------------------------
                0.00    0.00    4511/115360      h_alloc_struct_internal [62]
                0.04    0.06  110849/115360      do_move [16]
[49]     0.5    0.04    0.06  115360         page_alloc_struct [49]
                0.03    0.01  115360/115360      set_format_vector [58]
                0.01    0.01  115360/162601      alloc_mem_block [57]
                0.00    0.00  115360/162601      alloc_metadata [78]
-----------------------------------------------
                0.00    0.08       1/1           ioopm_inventory_load [51]
[50]     0.4    0.00    0.08       1         ioopm_inventory_create [50]
                0.00    0.08       1/1           ioopm_hash_table_create_spec [52]
                0.00    0.00       1/4511        h_alloc_struct [5]
                0.00    0.00       1/201         ioopm_linked_list_create [28]
                0.00    0.00       1/1           get_password [121]
-----------------------------------------------
                0.00    0.08       1/1           main [1]
[51]     0.4    0.00    0.08       1         ioopm_inventory_load [51]
                0.00    0.08       1/1           ioopm_inventory_create [50]
-----------------------------------------------
                0.00    0.08       1/1           ioopm_inventory_create [50]
[52]     0.4    0.00    0.08       1         ioopm_hash_table_create_spec [52]
                0.00    0.07       1/1           set_NO_buckets [54]
                0.00    0.00       1/4511        h_alloc_struct [5]
-----------------------------------------------
                0.03    0.04  157501/157501      do_move [16]
[53]     0.4    0.03    0.04  157501         move_data_block [53]
                0.03    0.00  157501/157501      set_forward_address [61]
                0.01    0.00  157501/22906112     is_ptr_to_page [21]
-----------------------------------------------
                0.00    0.07       1/1           ioopm_hash_table_create_spec [52]
[54]     0.4    0.00    0.07       1         set_NO_buckets [54]
                0.00    0.07      20/4511        h_alloc_struct [5]
-----------------------------------------------
                0.00    0.00     238/772853      get_alloc_page [67]
                0.00    0.00    6999/772853      get_moveto_page [42]
                0.00    0.00   14944/772853      get_active_pages [76]
                0.00    0.00   14944/772853      get_passive_pages [77]
                0.01    0.00  193088/772853      used_space [64]
                0.04    0.00  542640/772853      has_room [44]
[55]     0.3    0.05    0.00  772853         is_active [55]
-----------------------------------------------
                0.00    0.00     589/47241       h_alloc_data_internal [75]
                0.01    0.03   46652/47241       do_move [16]
