Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.00    0.51      51/51          TUI_inventory_replenish_stock [12]
[29]     4.2    0.00    0.51      51         ioopm_inventory_replenish_new_shelf_stock [29]
                0.00    0.23     102/3939        ioopm_linked_list_append [8]
                0.00    0.17      51/589         h_alloc_data [17]
                0.00    0.11      51/4511        h_alloc_struct [5]
                0.00    0.00      51/3873        ioopm_hash_table_lookup [91]
-----------------------------------------------
                0.01    0.01   46652/1310570     get_data_size [59]
                0.02    0.02  127300/1310570     do_move [15]
                0.19    0.21 1136618/1310570     reset_all_been_visited [6]
[30]     3.8    0.22    0.24 1310570         is_data_size [30]
                0.15    0.08 1310570/4401781     get_data_id [22]
-----------------------------------------------
                0.00    0.00       1/201         event_loop [3]
                0.00    0.00       1/201         main [1]
                0.00    0.00       1/201         ioopm_inventory_create [54]
                0.00    0.22      99/201         ioopm_hash_table_keys [10]
                0.00    0.22      99/201         create_merchandise [32]
[31]     3.7    0.00    0.45     201         ioopm_linked_list_create [31]
                0.00    0.45     201/4511        h_alloc_struct [5]
-----------------------------------------------
                0.00    0.44      99/99          ioopm_inventory_add_merchandise [24]
[32]     3.7    0.00    0.44      99         create_merchandise [32]
                0.00    0.22      99/4511        h_alloc_struct [5]
                0.00    0.22      99/201         ioopm_linked_list_create [31]
-----------------------------------------------
                0.00    0.39     199/199         event_loop [3]
[33]     3.3    0.00    0.39     199         ioopm_ask_menu [33]
                0.00    0.39     199/888         ask_question [18]
-----------------------------------------------
                0.00    0.10      51/189         TUI_inventory_replenish_stock [12]
                0.00    0.27     138/189         TUI_inventory_list_merch [7]
[34]     3.1    0.00    0.37     189         ioopm_ask_question_string [34]
                0.00    0.37     189/289         ask_question_string [28]
-----------------------------------------------
                0.06    0.00  859203/5292131     do_move [15]
                0.31    0.00 4432928/5292131     reset_all_been_visited [6]
[35]     3.1    0.37    0.00 5292131         get_format_vector_idx [35]
-----------------------------------------------
                0.04    0.02  351744/1942753     do_move [15]
                0.18    0.10 1591009/1942753     reset_all_been_visited [6]
[36]     2.9    0.22    0.12 1942753         is_been_visited [36]
                0.12    0.00 1942753/9330239     is_little_end [26]
-----------------------------------------------
                0.00    0.10      51/150         ioopm_ask_question_u_int [50]
                0.00    0.20      99/150         ioopm_ask_new_inventory_merch [27]
[37]     2.5    0.00    0.30     150         ask_question_u_int [37]
                0.00    0.30     150/888         ask_question [18]
-----------------------------------------------
                0.28    0.00 3324907/3324907     is_ptr_to_page [16]
[38]     2.3    0.28    0.00 3324907         get_bit_alloc_map [38]
-----------------------------------------------
                0.25    0.00    2365/2365        move [4]
[39]     2.1    0.25    0.00    2365         make_passive [39]
-----------------------------------------------
                0.16    0.07  252978/252978      do_move [15]
[40]     1.9    0.16    0.07  252978         is_movable [40]
                0.06    0.01  831337/22906112     is_ptr_to_page [16]
-----------------------------------------------
                0.00    0.00       1/100         destroy_carts [73]
                0.00    0.22      99/100         TUI_inventory_list_merch [7]
[41]     1.9    0.00    0.22     100         ioopm_list_iterator [41]
                0.00    0.22     100/4511        h_alloc_struct [5]
-----------------------------------------------
                0.00    0.22      99/99          ioopm_hash_table_insert [43]
[42]     1.8    0.00    0.22      99         entry_create [42]
                0.00    0.22      99/4511        h_alloc_struct [5]
-----------------------------------------------
                0.00    0.22      99/99          ioopm_inventory_add_merchandise [24]
[43]     1.8    0.00    0.22      99         ioopm_hash_table_insert [43]
                0.00    0.22      99/99          entry_create [42]
                0.00    0.00      99/4020        get_sentinel [89]
                0.00    0.00      99/4020        find_previous_entry_for_key [88]
-----------------------------------------------
                0.00    0.01    4511/115360      h_alloc_struct_internal [64]
                0.04    0.16  110849/115360      do_move [15]
[44]     1.7    0.04    0.17  115360         page_alloc_struct [44]
                0.12    0.01  115360/115360      set_format_vector [47]
                0.03    0.01  115360/162601      alloc_mem_block [53]
                0.00    0.00  115360/162601      alloc_metadata [78]
-----------------------------------------------
                0.00    0.09      48/99          TUI_inventory_remove_merch [14]
                0.00    0.10      51/99          TUI_inventory_replenish_stock [12]
[45]     1.6    0.00    0.20      99         ioopm_ask_existing_inventory_merch [45]
